artifact,experiment,book,model,env_tag,host,backend,ctx,parallel,kv,arm,n,correct,accuracy_pct,validation,dirty,commit,elapsed_s,finished,endpoint
closed_set__gemma-4-e4b-uncensored-hauhaucs-aggressive.json,closed_set,mushoku16,gemma-4-e4b-uncensored-hauhaucs-aggressive,local-lmstudio,mitch-linux,lmstudio,32768,2,f16?,closed-6,147,57,38.8,ok,False,863041db,81.9,07-26 13:04,http://localhost:1234/v1
closed_set__gemma-4-e4b-uncensored-hauhaucs-aggressive.json,closed_set,mushoku16,gemma-4-e4b-uncensored-hauhaucs-aggressive,local-lmstudio,mitch-linux,lmstudio,32768,2,f16?,closed-oracle,147,73,49.7,ok,False,863041db,81.9,07-26 13:04,http://localhost:1234/v1
closed_set__grimgar03__gemma-4-e4b-uncensored-hauhaucs-aggressive.json,closed_set,grimgar03,gemma-4-e4b-uncensored-hauhaucs-aggressive,local-lmstudio,mitch-linux,lmstudio,32768,2,f16?,open,400,229,57.2,ok,False,33ceeccd,198.1,07-27 08:46,http://localhost:1234/v1
closed_set__grimgar03__gemma-4-e4b-uncensored-hauhaucs-aggressive.json,closed_set,grimgar03,gemma-4-e4b-uncensored-hauhaucs-aggressive,local-lmstudio,mitch-linux,lmstudio,32768,2,f16?,closed-6,400,239,59.8,ok,False,33ceeccd,198.1,07-27 08:46,http://localhost:1234/v1
closed_set__grimgar03__gemma-4-e4b-uncensored-hauhaucs-aggressive.json,closed_set,grimgar03,gemma-4-e4b-uncensored-hauhaucs-aggressive,local-lmstudio,mitch-linux,lmstudio,32768,2,f16?,closed-oracle,400,262,65.5,ok,False,33ceeccd,198.1,07-27 08:46,http://localhost:1234/v1
closed_set__grimgar03__google__gemma-3-27b__thunder-a6000.json,closed_set,grimgar03,google/gemma-3-27b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,400,246,61.5,ok,False,13e9a77a,1206.5,07-27 11:55,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__grimgar03__google__gemma-3-27b__thunder-a6000.json,closed_set,grimgar03,google/gemma-3-27b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,400,249,62.3,ok,False,13e9a77a,1206.5,07-27 11:55,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__grimgar03__google__gemma-3-27b__thunder-a6000.json,closed_set,grimgar03,google/gemma-3-27b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,400,282,70.5,ok,False,13e9a77a,1206.5,07-27 11:55,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__grimgar03__llama-3.3-70b__thunder-a6000-loopback.json,closed_set,grimgar03,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda b10154,8192,1,q8_0,open,400,303,75.8,ok,False,,1489.6,07-28 03:35,http://127.0.0.1:8092/v1
closed_set__grimgar03__llama-3.3-70b__thunder-a6000-loopback.json,closed_set,grimgar03,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda b10154,8192,1,q8_0,closed-6,400,306,76.5,ok,False,,1489.6,07-28 03:35,http://127.0.0.1:8092/v1
closed_set__grimgar03__llama-3.3-70b__thunder-a6000-loopback.json,closed_set,grimgar03,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda b10154,8192,1,q8_0,closed-oracle,400,332,83.0,ok,False,,1489.6,07-28 03:35,http://127.0.0.1:8092/v1
closed_set__grimgar03__ministral-3-14b-instruct-2512.json,closed_set,grimgar03,ministral-3-14b-instruct-2512,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,400,206,51.5,ok,False,33ceeccd,285.2,07-27 08:43,http://localhost:1234/v1
closed_set__grimgar03__ministral-3-14b-instruct-2512.json,closed_set,grimgar03,ministral-3-14b-instruct-2512,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,400,210,52.5,ok,False,33ceeccd,285.2,07-27 08:43,http://localhost:1234/v1
closed_set__grimgar03__ministral-3-14b-instruct-2512.json,closed_set,grimgar03,ministral-3-14b-instruct-2512,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,400,233,58.2,ok,False,33ceeccd,285.2,07-27 08:43,http://localhost:1234/v1
closed_set__grimgar03__mistralai__magistral-small__local-llamacpp.json,closed_set,grimgar03,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,8192,1,q8_0,open,400,239,59.8,ok,False,49cb52a6,478.5,07-27 14:13,http://127.0.0.1:8083/v1
closed_set__grimgar03__mistralai__magistral-small__local-llamacpp.json,closed_set,grimgar03,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,8192,1,q8_0,closed-6,400,246,61.5,ok,False,49cb52a6,478.5,07-27 14:13,http://127.0.0.1:8083/v1
closed_set__grimgar03__mistralai__magistral-small__local-llamacpp.json,closed_set,grimgar03,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,8192,1,q8_0,closed-oracle,400,299,74.8,ok,False,49cb52a6,478.5,07-27 14:13,http://127.0.0.1:8083/v1
closed_set__grimgar03__mistralai__magistral-small__thunder-a6000.json,closed_set,grimgar03,mistralai/magistral-small,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,400,245,61.3,ok,False,77a66871,854.3,07-27 11:19,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__grimgar03__mistralai__magistral-small__thunder-a6000.json,closed_set,grimgar03,mistralai/magistral-small,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,400,232,58.0,ok,False,77a66871,854.3,07-27 11:19,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__grimgar03__mistralai__magistral-small__thunder-a6000.json,closed_set,grimgar03,mistralai/magistral-small,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,400,283,70.8,ok,False,77a66871,854.3,07-27 11:19,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__grimgar03__qwen__qwen3-14b.CLOUD-a6000.json,closed_set,grimgar03,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,open,400,245,61.3,ok,False,249d0d20,915.3,07-27 10:33,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__grimgar03__qwen__qwen3-14b.CLOUD-a6000.json,closed_set,grimgar03,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,closed-6,400,243,60.8,ok,False,249d0d20,915.3,07-27 10:33,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__grimgar03__qwen__qwen3-14b.CLOUD-a6000.json,closed_set,grimgar03,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,closed-oracle,400,291,72.8,ok,False,249d0d20,915.3,07-27 10:33,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__grimgar03__qwen__qwen3-14b.LOCAL-9070xt.json,closed_set,grimgar03,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,400,243,60.8,ok,False,33ceeccd,291.8,07-27 08:38,http://localhost:1234/v1
closed_set__grimgar03__qwen__qwen3-14b.LOCAL-9070xt.json,closed_set,grimgar03,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,400,242,60.5,ok,False,33ceeccd,291.8,07-27 08:38,http://localhost:1234/v1
closed_set__grimgar03__qwen__qwen3-14b.LOCAL-9070xt.json,closed_set,grimgar03,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,400,290,72.5,ok,False,33ceeccd,291.8,07-27 08:38,http://localhost:1234/v1
closed_set__grimgar03__qwen__qwen3-14b.json,closed_set,grimgar03,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,open,400,245,61.3,ok,False,249d0d20,915.3,07-27 10:33,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__grimgar03__qwen__qwen3-14b.json,closed_set,grimgar03,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,closed-6,400,243,60.8,ok,False,249d0d20,915.3,07-27 10:33,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__grimgar03__qwen__qwen3-14b.json,closed_set,grimgar03,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,closed-oracle,400,291,72.8,ok,False,249d0d20,915.3,07-27 10:33,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__grimgar03__qwen__qwen3-32b__thunder-a6000.json,closed_set,grimgar03,qwen/qwen3-32b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16,open,400,247,61.8,ok,False,54573393,1430.8,07-27 15:32,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__grimgar03__qwen__qwen3-32b__thunder-a6000.json,closed_set,grimgar03,qwen/qwen3-32b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16,closed-6,400,246,61.5,ok,False,54573393,1430.8,07-27 15:32,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__grimgar03__qwen__qwen3-32b__thunder-a6000.json,closed_set,grimgar03,qwen/qwen3-32b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16,closed-oracle,400,305,76.2,ok,False,54573393,1430.8,07-27 15:32,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__microsoft__phi-4.json,closed_set,mushoku16,microsoft/phi-4,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,147,67,45.6,ok,False,3d8765e7,112.6,07-26 15:08,http://localhost:1234/v1
closed_set__microsoft__phi-4.json,closed_set,mushoku16,microsoft/phi-4,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,147,48,32.7,ok,False,3d8765e7,112.6,07-26 15:08,http://localhost:1234/v1
closed_set__microsoft__phi-4.json,closed_set,mushoku16,microsoft/phi-4,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,147,87,59.2,ok,False,3d8765e7,112.6,07-26 15:08,http://localhost:1234/v1
closed_set__ministral-3-14b-instruct-2512-absolute-heresy-i1.json,closed_set,mushoku16,ministral-3-14b-instruct-2512-absolute-heresy-i1,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,147,69,46.9,ok,False,863041db,84.9,07-26 13:06,http://localhost:1234/v1
closed_set__ministral-3-14b-instruct-2512-absolute-heresy-i1.json,closed_set,mushoku16,ministral-3-14b-instruct-2512-absolute-heresy-i1,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,147,60,40.8,ok,False,863041db,84.9,07-26 13:06,http://localhost:1234/v1
closed_set__ministral-3-14b-instruct-2512-absolute-heresy-i1.json,closed_set,mushoku16,ministral-3-14b-instruct-2512-absolute-heresy-i1,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,147,87,59.2,ok,False,863041db,84.9,07-26 13:06,http://localhost:1234/v1
closed_set__ministral-3-14b-instruct-2512.json,closed_set,mushoku16,ministral-3-14b-instruct-2512,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,147,70,47.6,ok,False,863041db,64.0,07-26 13:01,http://localhost:1234/v1
closed_set__ministral-3-14b-instruct-2512.json,closed_set,mushoku16,ministral-3-14b-instruct-2512,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,147,61,41.5,ok,False,863041db,64.0,07-26 13:01,http://localhost:1234/v1
closed_set__ministral-3-14b-instruct-2512.json,closed_set,mushoku16,ministral-3-14b-instruct-2512,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,147,90,61.2,ok,False,863041db,64.0,07-26 13:01,http://localhost:1234/v1
closed_set__mushoku16__google__gemma-3-27b__thunder-a6000.json,closed_set,mushoku16,google/gemma-3-27b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,139,77,55.4,ok,False,13e9a77a,421.3,07-27 11:35,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__mushoku16__google__gemma-3-27b__thunder-a6000.json,closed_set,mushoku16,google/gemma-3-27b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,139,62,44.6,ok,False,13e9a77a,421.3,07-27 11:35,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__mushoku16__google__gemma-3-27b__thunder-a6000.json,closed_set,mushoku16,google/gemma-3-27b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,139,82,59.0,ok,False,13e9a77a,421.3,07-27 11:35,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__mushoku16__llama-3.3-70b__thunder-a6000-loopback.json,closed_set,mushoku16,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda b10154,8192,1,q8_0,open,139,83,59.7,ok,False,,445.8,07-28 03:43,http://127.0.0.1:8092/v1
closed_set__mushoku16__llama-3.3-70b__thunder-a6000-loopback.json,closed_set,mushoku16,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda b10154,8192,1,q8_0,closed-6,139,84,60.4,ok,False,,445.8,07-28 03:43,http://127.0.0.1:8092/v1
closed_set__mushoku16__llama-3.3-70b__thunder-a6000-loopback.json,closed_set,mushoku16,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda b10154,8192,1,q8_0,closed-oracle,139,104,74.8,ok,False,,445.8,07-28 03:43,http://127.0.0.1:8092/v1
closed_set__mushoku16__mistralai__magistral-small__local-llamacpp.json,closed_set,mushoku16,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,8192,1,q8_0,open,139,74,53.2,ok,False,49cb52a6,100.5,07-27 13:28,http://127.0.0.1:8080/v1
closed_set__mushoku16__mistralai__magistral-small__local-llamacpp.json,closed_set,mushoku16,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,8192,1,q8_0,closed-6,139,63,45.3,ok,False,49cb52a6,100.5,07-27 13:28,http://127.0.0.1:8080/v1
closed_set__mushoku16__mistralai__magistral-small__local-llamacpp.json,closed_set,mushoku16,mistralai/magistral-small,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,8192,1,q8_0,closed-oracle,139,80,57.6,ok,False,49cb52a6,100.5,07-27 13:28,http://127.0.0.1:8080/v1
closed_set__mushoku16__mistralai__magistral-small__thunder-a6000.json,closed_set,mushoku16,mistralai/magistral-small,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,139,73,52.5,ok,False,77a66871,254.3,07-27 11:04,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__mushoku16__mistralai__magistral-small__thunder-a6000.json,closed_set,mushoku16,mistralai/magistral-small,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,139,63,45.3,ok,False,77a66871,254.3,07-27 11:04,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__mushoku16__mistralai__magistral-small__thunder-a6000.json,closed_set,mushoku16,mistralai/magistral-small,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,139,79,56.8,ok,False,77a66871,254.3,07-27 11:04,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__mushoku16__qwen__qwen3-14b.json,closed_set,mushoku16,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,open,139,70,50.4,ok,False,249d0d20,317.6,07-27 10:17,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__mushoku16__qwen__qwen3-14b.json,closed_set,mushoku16,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,closed-6,139,54,38.8,ok,False,249d0d20,317.6,07-27 10:17,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__mushoku16__qwen__qwen3-14b.json,closed_set,mushoku16,qwen/qwen3-14b,cloud-a6000-lmstudio,mitch-linux,lmstudio,98304,1,f16?,closed-oracle,139,93,66.9,ok,False,249d0d20,317.6,07-27 10:17,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__mushoku16__qwen__qwen3-14b__local-llamacpp.json,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,open,139,67,48.2,ok,False,49cb52a6,81.7,07-27 13:46,http://127.0.0.1:8081/v1
closed_set__mushoku16__qwen__qwen3-14b__local-llamacpp.json,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,closed-6,139,54,38.8,ok,False,49cb52a6,81.7,07-27 13:46,http://127.0.0.1:8081/v1
closed_set__mushoku16__qwen__qwen3-14b__local-llamacpp.json,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,closed-oracle,139,93,66.9,ok,False,49cb52a6,81.7,07-27 13:46,http://127.0.0.1:8081/v1
closed_set__mushoku16__qwen__qwen3-14b__local-lmstudio.json,closed_set,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,139,69,49.6,ok,False,49cb52a6,90.6,07-27 13:51,http://localhost:1234/v1
closed_set__mushoku16__qwen__qwen3-14b__local-lmstudio.json,closed_set,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,139,55,39.6,ok,False,49cb52a6,90.6,07-27 13:51,http://localhost:1234/v1
closed_set__mushoku16__qwen__qwen3-14b__local-lmstudio.json,closed_set,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,139,92,66.2,ok,False,49cb52a6,90.6,07-27 13:51,http://localhost:1234/v1
closed_set__mushoku16__qwen__qwen3-14b__local-vulkan.json,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-vulkan,mitch-linux,llama.cpp-vulkan b10142 RADV,16384,1,f16,open,139,69,49.6,ok,False,49cb52a6,87.6,07-27 13:57,http://127.0.0.1:8082/v1
closed_set__mushoku16__qwen__qwen3-14b__local-vulkan.json,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-vulkan,mitch-linux,llama.cpp-vulkan b10142 RADV,16384,1,f16,closed-6,139,55,39.6,ok,False,49cb52a6,87.6,07-27 13:57,http://127.0.0.1:8082/v1
closed_set__mushoku16__qwen__qwen3-14b__local-vulkan.json,closed_set,mushoku16,qwen/qwen3-14b,local-llamacpp-vulkan,mitch-linux,llama.cpp-vulkan b10142 RADV,16384,1,f16,closed-oracle,139,93,66.9,ok,False,49cb52a6,87.6,07-27 13:57,http://127.0.0.1:8082/v1
closed_set__mushoku16__qwen__qwen3-32b__thunder-a6000.json,closed_set,mushoku16,qwen/qwen3-32b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16,open,139,73,52.5,ok,False,1e1ea850,496.9,07-27 15:08,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__mushoku16__qwen__qwen3-32b__thunder-a6000.json,closed_set,mushoku16,qwen/qwen3-32b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16,closed-6,139,65,46.8,ok,False,1e1ea850,496.9,07-27 15:08,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__mushoku16__qwen__qwen3-32b__thunder-a6000.json,closed_set,mushoku16,qwen/qwen3-32b,cloud-a6000-lmstudio,mitch-linux,lmstudio,16384,1,f16,closed-oracle,139,89,64.0,ok,False,1e1ea850,496.9,07-27 15:08,https://lho3lk5l-1234.thundercompute.net/v1
closed_set__qwen3.5-9b-uncensored-hauhaucs-aggressive.json,closed_set,mushoku16,qwen3.5-9b-uncensored-hauhaucs-aggressive,local-lmstudio,mitch-linux,lmstudio,32768,1,f16?,open,147,52,35.4,ok,False,863041db,150.0,07-26 13:09,http://localhost:1234/v1
closed_set__qwen3.5-9b-uncensored-hauhaucs-aggressive.json,closed_set,mushoku16,qwen3.5-9b-uncensored-hauhaucs-aggressive,local-lmstudio,mitch-linux,lmstudio,32768,1,f16?,closed-6,147,51,34.7,ok,False,863041db,150.0,07-26 13:09,http://localhost:1234/v1
closed_set__qwen3.5-9b-uncensored-hauhaucs-aggressive.json,closed_set,mushoku16,qwen3.5-9b-uncensored-hauhaucs-aggressive,local-lmstudio,mitch-linux,lmstudio,32768,1,f16?,closed-oracle,147,72,49.0,ok,False,863041db,150.0,07-26 13:09,http://localhost:1234/v1
closed_set__qwen__qwen3-14b.json,closed_set,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,open,147,71,48.3,ok,False,3d8765e7,92.7,07-26 15:10,http://localhost:1234/v1
closed_set__qwen__qwen3-14b.json,closed_set,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-6,147,54,36.7,ok,False,3d8765e7,92.7,07-26 15:10,http://localhost:1234/v1
closed_set__qwen__qwen3-14b.json,closed_set,mushoku16,qwen/qwen3-14b,local-lmstudio,mitch-linux,lmstudio,16384,1,f16?,closed-oracle,147,97,66.0,ok,False,3d8765e7,92.7,07-26 15:10,http://localhost:1234/v1
committed_history__grimgar03__qwen__qwen3-14b__local-llamacpp.json,committed_history,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,none,400,254,63.5,ok,False,1613e5fc,337.5,07-27 22:23,http://127.0.0.1:8091/v1
committed_history__grimgar03__qwen__qwen3-14b__local-llamacpp.json,committed_history,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,oracle,400,254,63.5,ok,False,1613e5fc,337.5,07-27 22:23,http://127.0.0.1:8091/v1
committed_history__grimgar03__qwen__qwen3-14b__local-llamacpp.json,committed_history,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,predicted,400,249,62.3,ok,False,1613e5fc,337.5,07-27 22:23,http://127.0.0.1:8091/v1
context_width__grimgar03__qwen__qwen3-14b__local-llamacpp.json,context_width,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,w1,400,223,55.8,ok,False,1613e5fc,1003.4,07-27 22:16,http://127.0.0.1:8090/v1
context_width__grimgar03__qwen__qwen3-14b__local-llamacpp.json,context_width,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,w4,400,248,62.0,ok,False,1613e5fc,1003.4,07-27 22:16,http://127.0.0.1:8090/v1
context_width__grimgar03__qwen__qwen3-14b__local-llamacpp.json,context_width,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,w15,400,246,61.5,ok,False,1613e5fc,1003.4,07-27 22:16,http://127.0.0.1:8090/v1
context_width__grimgar03__qwen__qwen3-14b__local-llamacpp.json,context_width,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip b10121,16384,1,f16,w40,400,242,60.5,ok,False,1613e5fc,1003.4,07-27 22:16,http://127.0.0.1:8090/v1
context_width_production__grimgar03__llama-3.3-70b__thunder-a6000-70b.json,context_width_production,grimgar03,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,w1,400,317,79.2,ok,False,,4704.6,07-28 07:24,http://127.0.0.1:8090/v1
context_width_production__grimgar03__llama-3.3-70b__thunder-a6000-70b.json,context_width_production,grimgar03,llama-3.3-70b,cloud-a6000-llamacpp-cuda,instance-lho3lk5l-main,llama.cpp-cuda on-instance,16384,1,q8_0,w4,400,307,76.8,ok,False,,4704.6,07-28 07:24,http://127.0.0.1:8090/v1
context_width_production__grimgar03__qwen__qwen3-14b__local-llamacpp-rep1.json,context_width_production,grimgar03,qwen/qwen3-14b,local-llamacpp-hip,mitch-linux,llama.cpp-hip,16384,1,q8_0,w1,400,239,59.8,ok,False,8da61490,1914.8,07-28 10:10,http://127.0.0.1:8090/v1
